,red,blue,actual,ai,ai_err,bookies,bookies_err,delta
53,Zabit Magomedsharipov,Sheymon Moraes,1,2.5433812425035285e-06,0.9999974566187576,0.8333333333333335,0.16666666666666652,0.833330789952091
54,Derrick Lewis,Alexander Volkov,1,2.2834070477983914e-05,0.999977165929522,0.425531914893617,0.5744680851063829,0.42550908082313904
55,Ed Herman,Thales Leites,0,0.5564125776290894,0.5564125776290894,0.37735849056603776,0.37735849056603776,0.1790540870630516
56,Jorge Masvidal,Rustam Khabilov,0,0.7625786066055298,0.7625786066055298,0.4444444444444444,0.4444444444444444,0.31813416216108537
58,Rustam Khabilov,Kajan Johnson,1,0.3879199624061585,0.6120800375938416,0.8936170212765957,0.1063829787234043,0.5056970588704373
60,Rustam Khabilov,Sergey Khandozhko,1,0.4147284626960753,0.5852715373039246,0.7101449275362319,0.2898550724637681,0.2954164648401566
61,Vinc Pichel,Rustam Khabilov,0,0.9672166109085084,0.9672166109085084,0.2777777777777778,0.2777777777777778,0.6894388331307306
62,Benson Henderson,Jorge Masvidal,1,0.2634233236312866,0.7365766763687134,0.696969696969697,0.303030303030303,0.4335463733384104
63,Demian Maia,Jorge Masvidal,1,0.0008417665958404541,0.9991582334041595,0.5348837209302325,0.4651162790697675,0.534041954334392
64,Jorge Masvidal,Cezar Ferreira,1,0.3612186908721924,0.6387813091278076,0.6666666666666665,0.3333333333333335,0.3054479757944741
65,Stephen Thompson,Jorge Masvidal,1,0.4948086738586426,0.5051913261413574,0.6551724137931035,0.3448275862068965,0.16036373993446096
66,Darren Till,Bojan Velickovic,1,4.518141736298276e-07,0.9999995481858264,0.6551724137931035,0.3448275862068965,0.6551719619789299
67,Darren Till,Jessin Ayari,1,0.0004645100561901927,0.9995354899438098,0.7333333333333333,0.2666666666666667,0.7328688232771431
69,Robert Whittaker,Stephen Thompson,0,0.7879274487495422,0.7879274487495422,0.4545454545454545,0.4545454545454545,0.33338199420408776
70,Derrick Lewis,Blagoy Ivanov,1,0.10841146111488342,0.8915885388851166,0.5348837209302325,0.4651162790697675,0.4264722598153491
71,Derrick Lewis,Gabriel Gonzaga,1,0.014291495084762572,0.9857085049152374,0.6,0.4,0.5857085049152374
72,Derrick Lewis,Shamil Abdurakhimov,1,0.12178537249565125,0.8782146275043488,0.7142857142857143,0.2857142857142857,0.5925003417900631
73,Derrick Lewis,Viktor Pesta,1,0.06427279114723206,0.9357272088527679,0.4,0.6,0.335727208852768
74,Shawn Jordan,Derrick Lewis,1,0.0006075501441955566,0.9993924498558044,0.5348837209302325,0.4651162790697675,0.5342761707860371
75,Corey Anderson,Tom Lawlor,1,0.0684094950556755,0.9315905049443244,0.7142857142857143,0.2857142857142857,0.6458762192300388
76,Ovince Saint Preux,Corey Anderson,1,1.0698730648073251e-06,0.9999989301269352,0.6363636363636364,0.3636363636363637,0.6363625664905715
77,Edmen Shahbazyan,Jack Marshman,1,0.38566708564758295,0.614332914352417,0.8507462686567164,0.14925373134328354,0.4650791830091335
78,Hakeem Dawodu,Austin Arnett,1,0.10574191063642502,0.894258089363575,0.8245614035087719,0.17543859649122806,0.7188194928723469
79,Stevie Ray,Jessin Ayari,1,0.43100637197494507,0.5689936280250549,0.6153846153846154,0.3846153846153846,0.18437824340967035
81,Beneil Dariush,Thiago Moises,1,0.4910522401332855,0.5089477598667145,0.6153846153846154,0.3846153846153846,0.1243323752513299
82,Edson Barboza,Beneil Dariush,1,0.16413234174251554,0.8358676582574844,0.6153846153846154,0.3846153846153846,0.4512522736420999
83,Muslim Salikhov,Laureano Staropoli,1,0.0005632384563796222,0.9994367615436204,0.6226415094339622,0.37735849056603776,0.6220782709775826
85,Randa Markos,Angela Hill,1,0.0007187896990217267,0.9992812103009784,0.425531914893617,0.5744680851063829,0.4248131251945953
86,Randa Markos,Ashley Yoder,1,1.5104104988949985e-07,0.9999998489589499,0.6,0.4,0.5999998489589501
87,Randa Markos,Juliana Lima,1,0.003817546647042036,0.996182453352958,0.6078431372549019,0.3921568627450981,0.6040255906078599
88,Magomed Mustafaev,Rafael Fiziev,1,0.38566708564758295,0.614332914352417,0.4545454545454545,0.5454545454545455,0.06887836889787152
89,Dominick Reyes,Chris Weidman,1,0.38566708564758295,0.614332914352417,0.6666666666666665,0.3333333333333335,0.2809995810190836
90,Jim Miller,Joe Lauzon,1,0.032743286341428764,0.9672567136585712,0.6491228070175439,0.3508771929824561,0.6163795206761151
93,Valentina Shevchenko,Joanna Jedrzejczyk,1,0.012485801242291927,0.9875141987577081,0.75,0.25,0.7375141987577081
94,Abdul Razak Alhassan,Niko Price,1,0.0766238123178482,0.9233761876821518,0.5238095238095238,0.4761904761904762,0.4471857114916756
95,Alex Morono,Niko Price,1,0.3952502608299256,0.6047497391700745,0.5121951219512195,0.4878048780487805,0.11694486112129393
96,Niko Price,George Sullivan,1,0.0129584688693285,0.9870415311306716,0.7849462365591396,0.2150537634408604,0.7719877676898111
97,Niko Price,James Vick,1,0.4898318648338318,0.5101681351661682,0.5918367346938775,0.4081632653061225,0.10200486986004577
99,Matt Frevola,Luis Pena,1,4.8172093869425225e-08,0.9999999518279059,0.43478260869565216,0.5652173913043479,0.4347825605235583
100,Eryk Anders,Gerald Meerschaert,1,0.00015612402057740835,0.9998438759794226,0.5833333333333334,0.4166666666666666,0.583177209312756
101,Eryk Anders,Markus Perez,1,0.376028835773468,0.623971164226532,0.8245614035087719,0.17543859649122806,0.4485325677353039
102,Lyoto Machida,Eryk Anders,1,0.14808541536331174,0.8519145846366882,0.3278688524590164,0.6721311475409836,0.17978343709570468
103,Ryan Spann,Devin Clark,1,0.38566708564758295,0.614332914352417,0.6363636363636364,0.3636363636363637,0.2506965507160534
104,Antonio Carlos Junior,Marvin Vettori,1,6.020843648002483e-05,0.99993979156352,0.5454545454545454,0.4545454545454546,0.5453943370180654
105,Marvin Vettori,Cezar Ferreira,1,0.18135614693164825,0.8186438530683517,0.6875,0.3125,0.5061438530683517
106,Shawn Jordan,Jared Cannonier,1,0.001580091891810298,0.9984199081081896,0.6491228070175439,0.3508771929824561,0.6475427151257336
107,Glover Teixeira,Ovince Saint Preux,1,0.0012441277503967285,0.9987558722496032,0.4545454545454545,0.5454545454545455,0.4533013267950578
108,Ovince Saint Preux,Patrick Cummins,1,0.016699939966201782,0.9833000600337982,0.5121951219512195,0.4878048780487805,0.4954951819850178
109,Ovince Saint Preux,Rafael Feijao,1,0.3625414967536926,0.6374585032463074,0.8076923076923077,0.1923076923076923,0.4451508109386151
110,Ovince Saint Preux,Tyson Pedro,1,3.51330018020235e-05,0.999964866998198,0.4444444444444444,0.5555555555555556,0.4444093114426424
111,Ovince Saint Preux,Yushin Okami,1,8.168465865310282e-05,0.9999183153413468,0.8113207547169812,0.18867924528301885,0.8112390700583281
112,Luis Pena,Steven Peterson,1,0.38566708564758295,0.614332914352417,0.6923076923076923,0.3076923076923077,0.3066406066601093
113,Diego Ferreira,Kyle Nelson,1,0.38566708564758295,0.614332914352417,0.8461538461538461,0.15384615384615385,0.4604867605062632
114,Justin Gaethje,James Vick,1,0.0031085370574146514,0.9968914629425852,0.4545454545454545,0.5454545454545455,0.4514369174880398
115,Kyle Kingsbury,Glover Teixeira,0,0.9910679459571838,0.9910679459571838,0.31746031746031744,0.31746031746031744,0.6736076284968664
116,Rampage Jackson,Glover Teixeira,0,0.9995137453079224,0.9995137453079224,0.31746031746031744,0.31746031746031744,0.6820534278476049
117,Uriah Hall,John Howard,0,0.9864907264709472,0.9864907264709472,0.826086956521739,0.826086956521739,0.16040376994920813
118,Uriah Hall,Kelvin Gastelum,0,0.9020775556564332,0.9020775556564332,0.7402597402597402,0.7402597402597402,0.16181781539669304
120,Misha Cirkunov,Jimmy Crute,1,0.0048395912162959576,0.995160408783704,0.5121951219512195,0.4878048780487805,0.5073555307349236
121,Misha Cirkunov,Patrick Cummins,1,0.3704472780227661,0.6295527219772339,0.7752808988764045,0.2247191011235955,0.4048336208536384
122,Augusto Sakai,Chase Sherman,1,0.38566708564758295,0.614332914352417,0.696969696969697,0.303030303030303,0.3113026113221141
124,Chas Skelly,Jim Alers,1,0.4131851196289063,0.5868148803710938,0.696969696969697,0.303030303030303,0.2837845773407907
125,Chas Skelly,Jordan Griffin,1,0.09554743021726607,0.904452569782734,0.4081632653061225,0.5918367346938775,0.31261583508885643
126,Chas Skelly,Maximo Blanco,1,0.11818299442529676,0.8818170055747032,0.6,0.4,0.4818170055747032
127,Sean Soriano,Chas Skelly,0,0.5186295509338379,0.5186295509338379,0.3703703703703704,0.3703703703703704,0.14825918056346749
128,Davi Ramos,Austin Hubbard,1,0.38566708564758295,0.614332914352417,0.8461538461538461,0.15384615384615385,0.4604867605062632
129,Adriano Martins,Islam Makhachev,1,1.4367314804530904e-07,0.999999856326852,0.4761904761904761,0.523809523809524,0.4761903325173281
130,Curtis Blaydes,Justin Willis,1,0.34983253479003906,0.6501674652099609,0.7333333333333333,0.2666666666666667,0.3835007985432942
131,Curtis Blaydes,Shamil Abdurakhimov,1,0.023396153002977368,0.9766038469970226,0.8461538461538461,0.15384615384615385,0.8227576931508688
132,Ramsey Nijem,Diego Ferreira,0,0.684878945350647,0.684878945350647,0.3703703703703704,0.3703703703703704,0.31450857498027657
133,Joanne Calderwood,Andrea Lee,1,9.30245514609851e-05,0.9999069754485392,0.3225806451612903,0.6774193548387097,0.3224876206098293
134,Zubaira Tukhugov,Phillipe Nover,1,0.37805527448654175,0.6219447255134583,0.7802197802197803,0.21978021978021967,0.4021645057332386
135,Alan Jouban,Belal Muhammad,1,0.04990991950035095,0.950090080499649,0.5918367346938775,0.4081632653061225,0.5419268151935266
136,Belal Muhammad,Chance Rencountre,1,0.1087755337357521,0.8912244662642479,0.8181818181818182,0.1818181818181817,0.7094062844460661
137,Kai Kara-France,Mark De La Rosa,1,1.414120561094023e-06,0.9999985858794388,0.6491228070175439,0.3508771929824561,0.6491213928969828
138,Markus Perez,Anthony Hernandez,1,0.38566708564758295,0.614332914352417,0.4651162790697674,0.5348837209302326,0.07944919342218443
139,Damir Ismagulov,Thiago Moises,1,0.38566708564758295,0.614332914352417,0.6875,0.3125,0.30183291435241705
140,Joey Beltran,Stipe Miocic,0,0.9722678661346436,0.9722678661346436,0.28169014084507044,0.28169014084507044,0.6905777252895731
141,Stipe Miocic,Alistair Overeem,1,0.2145824134349823,0.7854175865650177,0.5918367346938775,0.4081632653061225,0.3772543212588952
143,Sodiq Yusuff,Sheymon Moraes,1,0.38566708564758295,0.614332914352417,0.5918367346938775,0.4081632653061225,0.2061696490462946
144,Cory Sandhagen,Iuri Alcantara,1,1.3324432984518351e-05,0.9999866755670156,0.6666666666666665,0.3333333333333335,0.666653342233682
145,David Teymur,Drakkar Klose,1,0.38566708564758295,0.614332914352417,0.5652173913043478,0.4347826086956522,0.17955030565676486
146,Valentina Shevchenko,Liz Carmouche,1,0.0003592037537600845,0.99964079624624,0.9166666666666664,0.08333333333333359,0.9163074629129064
148,Vicente Luque,Hector Urbina,1,0.10072119534015657,0.8992788046598434,0.8529411764705883,0.1470588235294117,0.7522199811304318
149,Alexander Yakovlev,Alex Da Silva,1,0.38566708564758295,0.614332914352417,0.6,0.4,0.21433291435241705
150,Veronica Macedo,Polyana Viana,1,0.38566708564758295,0.614332914352417,0.5652173913043478,0.4347826086956522,0.17955030565676486
