,red,blue,actual,ai,ai_err,bookies,bookies_err
0,Mark Hominick,Chan Sung Jung,0,0.38566708564758295,0.38566708564758295,0.8484848484848484,0.8484848484848484
1,Daniel Cormier,Volkan Oezdemir,1,0.9795137643814088,0.02048623561859131,0.7752808988764045,0.2247191011235955
2,Volkan Oezdemir,Aleksandar Rakic,1,0.961983859539032,0.03801614046096802,0.4081632653061225,0.5918367346938775
3,Volkan Oezdemir,Ilir Latifi,1,0.9991175532341005,0.0008824467658996582,0.6551724137931035,0.3448275862068965
4,Volkan Oezdemir,Misha Cirkunov,1,0.6332374811172485,0.36676251888275146,0.21052631578947367,0.7894736842105263
5,Kyung Ho Kang,Brandon Davis,1,0.9995012283325196,0.0004987716674804689,0.6551724137931035,0.3448275862068965
6,Kyung Ho Kang,Guido Cannetti,1,0.9003216028213501,0.0996783971786499,0.7435897435897436,0.2564102564102564
7,Kyung Ho Kang,Liu Pingyuan,1,0.5215321183204651,0.4784678816795349,0.7333333333333333,0.2666666666666667
8,Michinori Tanaka,Kyung Ho Kang,0,0.008885394781827927,0.008885394781827927,0.6,0.6
9,Ricardo Ramos,Kyung Ho Kang,1,0.40463337302207947,0.5953666269779205,0.7333333333333333,0.2666666666666667
10,Alexandre Pantoja,Eric Shelton,1,0.960744082927704,0.039255917072296136,0.5,0.5
11,Alexandre Pantoja,Matt Schnell,1,0.9947880506515504,0.005211949348449707,0.6441281138790036,0.3558718861209964
12,Alexandre Pantoja,Neil Seery,1,0.9931166172027588,0.006883382797241211,0.7777777777777779,0.2222222222222221
13,Alexandre Pantoja,Ulka Sasaki,1,0.977097749710083,0.022902250289916992,0.7619047619047619,0.2380952380952381
14,Dustin Ortiz,Alexandre Pantoja,1,0.4789395034313202,0.5210604965686798,0.5744680851063829,0.4255319148936171
15,Raoni Barcelos,Carlos Huachin,1,0.9995176792144777,0.00048232078552246094,0.9166666666666664,0.08333333333333359
16,Raoni Barcelos,Said Nurmagomedov,1,0.00011182593880221248,0.9998881740611978,0.6015936254980079,0.3984063745019921
