First,Last,Nickname,Stance,Win,Loss,Draw,Total Fights,Weight_numeric,Height_cm
Justin,Eilers,The Hammer,Orthodox,19,7,1,27,265,185.42
Dan,Christison,The Sandman,Orthodox,20,7,0,27,265,203.2
John,Hosman,,Southpaw,18,8,1,27,135,177.8
Charlie,Brenneman,The Spaniard,Orthodox,19,8,0,27,155,177.8
Kuniyoshi,Hironaka,,Orthodox,19,8,0,27,168,177.8
Karo,Parisyan,The Heat,Orthodox,19,8,0,27,170,177.8
Dong Hyun,Kim,Maestro,Orthodox,16,8,3,27,155,180.34
Zach,Makovsky,Fun Size,Southpaw,19,8,0,27,125,162.56
Alexis,Davis,,Orthodox,19,8,0,27,125,167.64000000000001
Drew,Dober,,Southpaw,19,8,0,27,170,172.72
Rob,McCullough,Razor,Orthodox,19,8,0,27,155,175.26
Jason,Ireland,The Irish Tornado,Southpaw,18,8,1,27,161,175.26
Pedro,Otavio,Te Pedro,Orthodox,19,8,0,27,265,190.5
Chuck,Grigsby,The Reverend,Orthodox,19,8,0,27,205,198.12
David,Hulett,Hollywood,,18,9,0,27,170,177.8
Justin,Guthrie,,,18,9,0,27,170,185.42
CB,Dollaway,The Doberman,Orthodox,18,9,0,27,185,187.96
James,Te Huna,,Orthodox,18,9,0,27,185,187.96
Hiroyuki,Takaya,Streetfight Bancho,Orthodox,16,10,1,27,139,167.64000000000001
Ryan,Roberts,,Orthodox,16,10,1,27,155,167.64000000000001
Danny,Castillo,Last Call,Orthodox,17,10,0,27,155,175.26
Antonio,Mendes,Samurai,Southpaw,17,10,0,27,205,190.5
Alvin,Cacdac,,Orthodox,16,11,0,27,125,167.64000000000001
Scott,Jorgensen,Young Guns,Orthodox,15,12,0,27,135,165.1
Jason,Von Flue,Live Wire,Orthodox,14,12,1,27,170,182.88
Michihiro,Omigawa,,Orthodox,13,13,1,27,145,167.64000000000001
Cody,Carrillo,,,11,16,0,27,155,177.8
Mike,Bourke,The Rhino,Orthodox,10,16,1,27,300,182.88
Georges,St-Pierre,Rush,Orthodox,26,2,0,28,185,180.34
Jason,Black,The Black Legion,Orthodox,23,4,1,28,155,172.72
Paulo,Filho,,Southpaw,22,4,2,28,185,172.72
Ulka,Sasaki,Ulka,Southpaw,21,5,2,28,125,177.8
Norman,Parke,Stormin',,22,5,1,28,155,180.34
Jordan,Radev,,Southpaw,23,5,0,28,185,170.18
Benson,Henderson,Smooth,Southpaw,23,5,0,28,170,175.26
Ryan,Bader,Darth,Orthodox,23,5,0,28,205,187.96
Johnny,Case,Hollywood,Orthodox,22,6,0,28,155,177.8
Tiago,Trator,Trator,Orthodox,20,6,2,28,145,175.26
Francisco,Trinaldo,Massaranduba,Southpaw,22,6,0,28,155,175.26
Jesse,Sanders,,Orthodox,22,6,0,28,170,182.88
Anthony,Johnson,Rumble,Orthodox,22,6,0,28,205,187.96
Desmond,Green,The Predator,Southpaw,21,7,0,28,155,177.8
Anthony,Pettis,Showtime,Orthodox,21,7,0,28,155,177.8
Benji,Radach,Razor,Orthodox,21,7,0,28,185,177.8
John,Phillips,The Welsh Wrecking Machine,Southpaw,21,7,0,28,185,180.34
Mitsuhiro,Ishida,The Endless Warrior,Southpaw,20,7,1,28,154,167.64000000000001
Gabriel,Benitez,Moggly,Southpaw,21,7,0,28,145,172.72
Neil,Magny,,Orthodox,21,7,0,28,170,190.5
Bill,Mahood,The Butcher,Orthodox,20,7,1,28,200,190.5
Abner,Lloveras,Skullman,,19,8,1,28,155,180.34
Chase,Beebe,,Orthodox,19,8,1,28,135,170.18
Henry,Briones,Bure,,19,8,1,28,135,172.72
Eric,Wisely,Little Lee,Southpaw,19,8,1,28,145,172.72
Ross,Ebanez,The Boss,Southpaw,20,8,0,28,154,175.26
Daniel,Omielanczuk,,Southpaw,19,8,1,28,265,182.88
Brian,Kelleher,Boom,Switch,19,9,0,28,135,167.64000000000001
Leigh,Remedios,Bulldog,Orthodox,17,9,2,28,155,170.18
Rick,Story,The Horror,Southpaw,19,9,0,28,170,175.26
Erick,Silva,The Tiger,Orthodox,19,9,0,28,170,182.88
Jorge,Rivera,El Conquistador,Orthodox,19,9,0,28,185,185.42
Tae Hyun,Bang,The Korean Cowboy,Switch,18,10,0,28,155,175.26
Gabriel,Gonzaga,Napao,Orthodox,17,11,0,28,265,187.96
Marcio,Navarro,The Locomotive,,14,14,0,28,155,182.88
Mike,Seal,Crazy Boy,Orthodox,13,14,1,28,185,193.04
Bryan,Pardoe,Pain Inducer,Orthodox,12,16,0,28,205,185.42
Katsuhisa,Fujii,Shamoji,Orthodox,9,18,1,28,205,182.88
Daniel,McWilliams,The Animal,,9,19,0,28,185,185.42
Megumi,Fujii,Mega Megu,,26,3,0,29,113,160.02
Georgi,Karakhanyan,Insane,,24,4,1,29,145,172.72
Isao,Kobayashi,,,21,4,4,29,145,172.72
Rousimar,Palhares,Toquinho,Orthodox,24,5,0,29,170,172.72
Dustin,Poirier,The Diamond,Southpaw,24,5,0,29,155,175.26
Alejandro,Perez,Turbo,Orthodox,22,6,1,29,135,167.64000000000001
Frankie,Edgar,The Answer,Orthodox,22,6,1,29,145,167.64000000000001
Motonobu,Tezuka,,Southpaw,19,6,4,29,135,170.18
Dokonjonosuke,Mishima,,Southpaw,20,7,2,29,155,170.18
Pat,Curran,Paddy Mike,,22,7,0,29,145,175.26
Gilbert,Melendez,El Nino,Orthodox,22,7,0,29,145,175.26
Marcus,LeVesseur,The Prospect,Southpaw,22,7,0,29,155,175.26
Jack,Marshman,The Hammer,Orthodox,22,7,0,29,170,182.88
Jan,Blachowicz,,Orthodox,22,7,0,29,205,187.96
Stevie,Ray,Braveheart,Southpaw,21,8,0,29,155,177.8
Josh,Thomson,The Punk,Orthodox,21,8,0,29,155,177.8
Luis,Ramos,Beicao,Orthodox,19,8,2,29,170,172.72
Ildemar,Alcantara,Marajo,Orthodox,21,8,0,29,185,187.96
Chuck,Liddell,The Iceman,Orthodox,21,8,0,29,205,187.96
Bubba,McDaniel,The Menace,Southpaw,21,8,0,29,185,190.5
Marcus,Davis,The Irish Hand Grenade,Southpaw,20,9,0,29,170,177.8
Eiji,Mitsuoka,,Southpaw,18,9,2,29,145,170.18
Egidijus,Valavicius,,Orthodox,20,9,0,29,200,182.88
Ryan,Healy,The Irish Assassin,Orthodox,19,9,1,29,155,185.42
Mike,Kyle,MAK,Orthodox,19,9,1,29,205,193.04
Josh,Koscheck,,Orthodox,19,10,0,29,170,177.8
Bao,Quach,,Orthodox,18,10,1,29,145,160.02
Felipe,Arantes,Sertanejo,Orthodox,18,10,1,29,135,172.72
Pedro,Rizzo,The Rock,Orthodox,19,10,0,29,265,185.42
Keith,Jardine,The Dean of Mean,Orthodox,17,10,2,29,185,187.96
Manvel,Gamburyan,The Anvil,Orthodox,18,11,0,29,135,165.1
Daniel,Pineda,The Pit,Orthodox,18,11,0,29,145,170.18
Akitoshi,Tamura,The Ironman,Orthodox,16,11,2,29,135,175.26
Seth,Baczynski,The Polish Pistola,Orthodox,18,11,0,29,170,190.5
Tito,Ortiz,The People's Champ,Orthodox,17,11,1,29,205,190.5
Frank,Mir,,Southpaw,18,11,0,29,265,190.5
Damien,Brown,Beatdown,Orthodox,17,12,0,29,155,177.8
Yoko,Takahashi,,,15,12,2,29,150,172.72
Ryuki,Ueyama,,Southpaw,11,13,5,29,180,180.34
Neil,Seery,2Tap,Orthodox,16,13,0,29,125,162.56
Julie,Kedzie,,Orthodox,16,13,0,29,135,165.1
George,Roop,,Orthodox,15,13,1,29,135,185.42
Artem,Lobov,The Russian Hammer,Southpaw,14,14,1,29,145,175.26
Phil,Baroni,The New York Bad Ass,Orthodox,14,15,0,29,170,175.26
Sherman,Pendergarst,The Tank,Orthodox,11,18,0,29,265,185.42
Sam,Adkins,The Experience,Orthodox,7,20,2,29,265,190.5
Demetrious,Johnson,Mighty Mouse,Orthodox,27,2,1,30,125,160.02
Santiago,Ponzinibbio,Gente Boa,Orthodox,27,3,0,30,170,182.88
Patricio,Freire,Pitbull,,26,4,0,30,145,165.1
Joseph,Benavidez,,Southpaw,25,5,0,30,125,162.56
Sean,Loeffler,The Destroyer,Orthodox,25,5,0,30,185,190.5
Dmitry,Poberezhets,,,24,5,1,30,265,190.5
Nick,Agallar,,Orthodox,24,6,0,30,155,172.72
Hacran,Dias,Barnabe,Orthodox,23,6,1,30,155,172.72
Delson,Heleno,Pe De Chumbo,Orthodox,23,7,0,30,185,180.34
Marcin,Held,,Orthodox,23,7,0,30,155,175.26
Jay,Hieron,The Thoroughbred,Orthodox,23,7,0,30,170,182.88
Ibragim,Magomedov,,Orthodox,22,7,1,30,265,182.88
Steve,Kennedy,The Steamrolla,Orthodox,22,8,0,30,170,180.34
Tom,Niinimaki,Stoneface,Orthodox,21,8,1,30,145,175.26
Edilberto,de Oliveira,Crocota,Orthodox,20,8,2,30,170,182.88
Rogerio,Nogueira,Minotouro,Southpaw,22,8,0,30,205,187.96
James,Zikic,The Messenger,Orthodox,20,8,2,30,205,187.96
Tyler,Stinson,The Evolution,,22,8,0,30,170,190.5
Moise,Rimbon,Swamp,Orthodox,18,9,3,30,205,177.8
John,Dodson,The Magician,Orthodox,21,9,0,30,135,160.02
Mizuto,Hirota,Pugnus,Orthodox,19,9,2,30,155,170.18
Bryan,Caraway,Kid Lightning,Orthodox,21,9,0,30,135,172.72
Frank,Trigg,Twinkle Toes,Southpaw,21,9,0,30,170,175.26
Don,Frye,The Predator,Orthodox,20,9,1,30,265,185.42
Kenji,Osawa,,Orthodox,18,10,2,30,135,170.18
David,Loiseau,The Crow,Orthodox,20,10,0,30,185,182.88
Antonio,Silva,Bigfoot,Orthodox,19,10,1,30,265,193.04
Tom,Gallicchio,Da Tank,Southpaw,19,11,0,30,170,177.8
Raja,Shippen,,,18,11,1,30,145,167.64000000000001
Fernando,Gonzalez,The Menifee Maniac,Southpaw,19,11,0,30,170,175.26
Jess,Liaudin,The Joker,Orthodox,19,11,0,30,170,175.26
Alessio,Sakara,Legionarius,Orthodox,19,11,0,30,185,182.88
Randy,Couture,The Natural,Orthodox,19,11,0,30,205,185.42
Alex,Stiebling,The Brazilian Killa,Southpaw,18,11,1,30,205,187.96
Sammy,Morgan,The Squeeze,Orthodox,18,12,0,30,170,177.8
Takeshi,Yamazaki,,Southpaw,15,12,3,30,139,172.72
BJ,Penn,The Prodigy,Orthodox,16,12,2,30,145,175.26
DaMarques,Johnson,Darkness,Orthodox,18,12,0,30,170,185.42
Johil,de Oliveira,,Orthodox,16,13,1,30,170,167.64000000000001
Roger,Carroll,The Leprechaun,,16,14,0,30,170,177.8
Carlos,Newton,The Ronin,Orthodox,16,14,0,30,170,175.26
James,Thompson,The Colossus,Orthodox,16,14,0,30,265,195.57999999999998
Jose,Aldo,Junior,Orthodox,27,4,0,31,145,170.18
Ivan,Jorge,Batman,Orthodox,26,5,0,31,155,175.26
Mairbek,Taisumov,Beckan,Orthodox,26,5,0,31,155,175.26
Darren,Elkins,The Damage,Orthodox,25,6,0,31,145,177.8
Siyar,Bahadurzada,The Great,Orthodox,24,6,1,31,185,180.34
Yasuhiro,Urushitani,,Southpaw,19,6,6,31,125,165.1
Tommy,Lee,,Orthodox,25,6,0,31,145,170.18
Jacare,Souza,Jacare,Orthodox,25,6,0,31,185,185.42
Joe,Taimanglo,The Juggernaut,,23,7,1,31,135,162.56
Daniel,Straus,,,24,7,0,31,145,170.18
Amar,Suloev,,Orthodox,24,7,0,31,183,175.26
Charles,Oliveira,Do Bronx,Orthodox,23,8,0,31,155,177.8
Kestutis,Smirnovas,,Orthodox,22,8,1,31,200,177.8
Matt,Bessette,The Mangler,Orthodox,22,9,0,31,145,177.8
Wilson,Reis,,Southpaw,22,9,0,31,125,162.56
Terry,Martin,,Orthodox,22,9,0,31,185,172.72
Matt,Lindland,The Law,Southpaw,22,9,0,31,185,182.88
Rafael,Natal,Sapo,Orthodox,21,9,1,31,185,182.88
Fabio,Maldonado,Caipira de Aco,Orthodox,22,9,0,31,205,185.42
Devin,Cole,,Orthodox,21,9,1,31,265,193.04
Marcus,Aurelio,Maximus,Orthodox,21,10,0,31,155,177.8
Hidetaka,Monma,,Orthodox,17,10,4,31,168,182.88
Leonard,Garcia,Bad Boy,Orthodox,19,11,1,31,145,177.8
Yves,Jabouin,Tiger,Orthodox,20,11,0,31,135,170.18
Nate,Diaz,,Southpaw,20,11,0,31,170,182.88
Jason,Day,Dooms,Orthodox,19,12,0,31,185,182.88
Alavutdin,Gadjiev,,Orthodox,18,12,1,31,185,187.96
Michael,Johnson,The Menace,Southpaw,18,13,0,31,155,177.8
Roman,Zentsov,The Russian Hammer,Orthodox,18,13,0,31,265,185.42
Brian,Warren,Mr. Unbreakable,Orthodox,15,15,1,31,185,182.88
Bryson,Kamaka,,Orthodox,12,18,1,31,170,180.34
Landon,Showalter,The Show,,11,19,1,31,185,182.88
John,Doyle,The Iron Bull,Orthodox,11,20,0,31,205,180.34
Maiquel,Falcao,Big Rig,Orthodox,28,4,0,32,185,180.34
Raphael,Assuncao,,Orthodox,27,5,0,32,135,165.1
Thiago,Tavares,,Orthodox,24,7,1,32,145,170.18
Anthony,Lapsley,The Recipe,Southpaw,25,7,0,32,170,175.26
Hans,Stringer,,Orthodox,22,7,3,32,205,190.5
Rob,Kimmons,The Rosedale Reaper,Orthodox,24,8,0,32,185,177.8
Greg,Rebello,Ribz,Southpaw,24,8,0,32,265,182.88
Lyoto,Machida,The Dragon,Southpaw,24,8,0,32,185,185.42
Trevor,Prangley,,Orthodox,23,8,1,32,185,185.42
Dion,Staring,Soldier,Orthodox,24,8,0,32,265,185.42
James,Krause,The,Orthodox,24,8,0,32,155,187.96
Alexander,Yakovlev,Thunder of the North,Southpaw,23,8,1,32,170,190.5
Fabricio,Werdum,Vai Cavalo,Orthodox,23,8,1,32,265,193.04
Katsuya,Inoue,,Southpaw,19,9,4,32,168,175.26
Yuya,Shirai,,Orthodox,21,10,1,32,168,172.72
Roan,Carneiro,Jucao,Orthodox,21,11,0,32,170,180.34
Bendy,Casimir,,Southpaw,19,11,2,32,145,165.1
Jean,Silva,White Bear,Orthodox,18,11,3,32,160,167.64000000000001
Yaotzin,Meza,,Orthodox,21,11,0,32,145,175.26
Cole,Miller,Magrinho,Orthodox,21,11,0,32,145,185.42
Mark,Hominick,The Machine,Orthodox,20,12,0,32,145,172.72
Ryo,Chonan,Piranah,Orthodox,20,12,0,32,170,175.26
Brad,Blackburn,Bad Brad,Orthodox,18,13,1,32,170,177.8
Lucas,Lopes,,,19,13,0,32,185,187.96
Gideon,Ray,,Southpaw,17,14,1,32,185,177.8
Nam,Phan,,Orthodox,18,14,0,32,135,167.64000000000001
Marvin,Eastman,The Beastman,Orthodox,17,14,1,32,185,175.26
Jean Francois,Lenogue,,Orthodox,15,14,3,32,185,182.88
Eddy,Ellis,Fast,Orthodox,16,15,1,32,170,175.26
Joe,Camacho,,Orthodox,13,16,3,32,155,175.26
Jason,Godsey,,Orthodox,16,16,0,32,265,187.96
Jong Wang,Kim,,,11,21,0,32,265,185.42
Bas,Rutten,El Guapo,Orthodox,28,4,1,33,205,185.42
Nazareno,Malegarie,El Tigre,,28,5,0,33,155,172.72
Antonio,McKee,Mandingo,Southpaw,26,5,2,33,155,172.72
Jon,Fitch,,Orthodox,27,5,1,33,170,182.88
Vladimir,Matyushenko,The Janitor,Orthodox,26,7,0,33,205,182.88
Bobby,Green,King,Orthodox,24,8,1,33,155,177.8
Katsunori,Kikuno,,Orthodox,23,8,2,33,145,172.72
Din,Thomas,Dinyero,Orthodox,25,8,0,33,155,175.26
Rashad,Evans,Suga,Orthodox,24,8,1,33,205,182.88
Igor,Araujo,,Orthodox,25,8,0,33,170,185.42
Wendell,Oliveira,The Machine,Orthodox,24,9,0,33,170,177.8
Tomoya,Miyashita,,Southpaw,17,9,7,33,139,170.18
Forrest,Petz,The Meat Cleaver,Orthodox,24,9,0,33,170,175.26
Ben,Saunders,Killa B,Orthodox,22,9,2,33,170,187.96
Kyle,Noke,,Southpaw,22,10,1,33,170,185.42
Francis,Carmont,Limitless,Orthodox,23,10,0,33,205,190.5
Cyrille,Diabate,The Snake,Southpaw,20,10,3,33,205,198.12
Chris,Leben,The Crippler,Southpaw,22,11,0,33,185,180.34
Jamie,Varner,,Orthodox,21,11,1,33,155,172.72
Luigi,Fioravanti,,Orthodox,22,11,0,33,170,172.72
Mike,Santiago,,Orthodox,21,12,0,33,145,177.8
Jason,Dent,Dynamite,Orthodox,21,12,0,33,155,177.8
Murilo,Rua,Ninja,Orthodox,20,12,1,33,185,180.34
Tim,Boetsch,The Barbarian,Orthodox,21,12,0,33,185,182.88
Johnny,Bedford,Brutal,Orthodox,19,13,1,33,135,177.8
Chris,Brennan,The Westside Strangler,Orthodox,19,13,1,33,170,172.72
Wesley,Correira,Cabbage,Orthodox,19,14,0,33,265,190.5
Evangelista,Santos,Cyborg,Orthodox,18,15,0,33,170,177.8
Kevin,Randleman,The Monster,Orthodox,17,16,0,33,205,177.8
Luke,Caudillo,Lil' Hulk,Orthodox,17,16,0,33,155,170.18
Julio Cesar,Neves Jr.,Morceguinho,,33,1,0,34,145,172.72
Rafael,Silva,Morcego,,28,6,0,34,135,170.18
Mike,Whitehead,,Orthodox,27,7,0,34,205,185.42
Glover,Teixeira,,Orthodox,27,7,0,34,205,187.96
Rani,Yahya,,Orthodox,25,9,0,34,135,167.64000000000001
Spencer,Fisher,The King,Southpaw,25,9,0,34,155,170.18
Cub,Swanson,,Orthodox,25,9,0,34,145,172.72
Demian,Maia,,Southpaw,25,9,0,34,170,185.42
Akbarh,Arreola,El Caballero,Southpaw,23,10,1,34,155,177.8
Takenori,Sato,,Southpaw,17,10,7,34,170,177.8
Dennis,Siver,,Orthodox,23,11,0,34,145,167.64000000000001
Takeya,Mizugaki,,Orthodox,21,11,2,34,135,170.18
Joachim,Hansen,Hellboy,Southpaw,22,11,1,34,150,170.18
Ovince,Saint Preux,,Southpaw,23,11,0,34,205,190.5
Phil,Harris,Billy,Orthodox,22,12,0,34,125,162.56
Hermes,Franca,,Orthodox,22,12,0,34,155,167.64000000000001
Sam,Stout,Hands of Stone,Orthodox,21,12,1,34,155,175.26
Wayne,Cole,,Orthodox,16,18,0,34,205,185.42
Jimmy,Ambriz,The Titan,Southpaw,15,18,1,34,300,187.96
George,Allen,,Open Stance,13,19,2,34,205,187.96
Shinya,Aoki,Tobikan Judan,Southpaw,30,5,0,35,154,180.34
Eddie,Alvarez,The Underground King,Orthodox,29,6,0,35,155,175.26
Douglas,Lima,The Phenom,,29,6,0,35,170,185.42
Jameel,Massouh,,Orthodox,26,9,0,35,145,177.8
Masakazu,Imanari,,Southpaw,24,9,2,35,139,162.56
Mike,Brown,,Orthodox,26,9,0,35,145,167.64000000000001
Melvin,Manhoef,Marvelous,Orthodox,25,9,1,35,185,175.26
Nick,Diaz,,Southpaw,26,9,0,35,185,185.42
Dan,Hardy,The Outlaw,Orthodox,25,10,0,35,170,182.88
Frank,Shamrock,,Orthodox,22,11,2,35,185,177.8
Patrick,Cote,The Predator,Orthodox,24,11,0,35,170,180.34
Diego,Brandao,DB,Orthodox,24,11,0,35,145,170.18
John,Howard,Doomsday,Orthodox,23,12,0,35,170,170.18
Mac,Danzig,,Orthodox,22,12,1,35,155,172.72
Jonathan,Goulet,The Road Warrior,Orthodox,23,12,0,35,170,182.88
Kerry,Schall,Meat Truck,Orthodox,23,12,0,35,265,187.96
Jason,Medina,,,21,13,1,35,180,175.26
Antony,Rea,Wild Thing,Orthodox,22,13,0,35,205,182.88
Kenji,Arai,,Southpaw,15,15,5,35,145,177.8
Patrick,Smith,,Orthodox,20,15,0,35,265,187.96
Sean,Salmon,,Southpaw,18,17,0,35,185,177.8
Dominic,Brown,,,14,21,0,35,190,180.34
Ray,Perales,Relentless,Orthodox,13,22,0,35,170,177.8
Alexander,Volkov,Drago,Orthodox,30,6,0,36,265,200.66
Rich,Franklin,Ace,Southpaw,29,7,0,36,185,185.42
Homer,Moore,The Rock,Orthodox,25,9,2,36,205,177.8
Thales,Leites,,Orthodox,27,9,0,36,185,185.42
Hector,Urbina,El Toro,Orthodox,25,10,1,36,170,180.34
Jong Man,Kim,Special Force,Orthodox,22,11,3,36,139,170.18
Efrain,Escudero,Hecho En Mexico,Orthodox,25,11,0,36,155,175.26
Masanori,Suda,,Orthodox,22,11,3,36,183,175.26
Jorge,Santiago,The Sandman,Orthodox,25,11,0,36,170,185.42
Mauricio,Rua,Shogun,Orthodox,25,11,0,36,205,185.42
Bobby,Voelker,Vicious,Orthodox,24,12,0,36,170,182.88
Tom,Sauer,,,24,12,0,36,265,185.42
Steven,Siler,Super,Orthodox,23,13,0,36,145,180.34
Wes,Sims,The Project,Orthodox,22,13,1,36,265,208.28
Nick,Rossborough,Leatherface,,20,15,1,36,205,195.57999999999998
Chris,Haseman,The Hammer,Orthodox,20,16,0,36,205,180.34
Akira,Shoji,,Orthodox,14,17,5,36,195,172.72
Mitch,Whitesel,,,16,20,0,36,185,175.26
Leo,Sylvest,Lethal,Orthodox,10,26,0,36,205,180.34
Jake,Shields,,Orthodox,29,7,1,37,170,182.88
Tim,Sylvia,The Maine-iac,Orthodox,30,7,0,37,265,203.2
Dave,Strasser,,Orthodox,25,8,4,37,170,177.8
Koji,Oishi,,Orthodox,21,8,8,37,170,172.72
Adriano,Martins,,Southpaw,28,9,0,37,155,177.8
Iliarde,Santos,,Orthodox,27,9,1,37,125,165.1
Joey,Villasenor,Smokin' Joe,Orthodox,28,9,0,37,185,182.88
Gerald,Meerschaert,GM3,Southpaw,28,9,0,37,185,185.42
Kazuo,Misaki,Hitman,Orthodox,24,11,2,37,183,172.72
Ivan,Menjivar,The Pride of El Salvador,Orthodox,25,12,0,37,145,167.64000000000001
Jason,Lambert,The Punisher,Orthodox,25,12,0,37,185,190.5
Kajan,Johnson,Ragin',Orthodox,23,13,1,37,155,180.34
Eddie,Wineland,,Orthodox,23,13,1,37,135,170.18
Ed,Herman,Short Fuse,Orthodox,24,13,0,37,205,185.42
Chris,Camozzi,,Orthodox,24,13,0,37,185,187.96
Roy,Nelson,Big Country,Orthodox,23,14,0,37,265,182.88
Del,Hawkins,The Filipino Delight,Orthodox,22,15,0,37,135,165.1
Roxanne,Modafferi,The Happy Warrior,,22,15,0,37,125,170.18
Ross,Pearson,The Real Deal,Orthodox,22,15,0,37,155,172.72
Xavier,Foupa-Pokam,Professor X,Open Stance,21,16,0,37,185,185.42
David,Gardner,,Orthodox,18,19,0,37,155,180.34
John,Dixson,Big John,Orthodox,15,22,0,37,300,182.88
Fedor,Emelianenko,The Last Emperor,Orthodox,34,4,0,38,265,182.88
Jose,Maria,No Chance,Orthodox,33,5,0,38,125,165.1
Pat,Miletich,The Croatian Sensation,Orthodox,29,7,2,38,170,177.8
Hatsu,Hioki,,Orthodox,27,9,2,38,145,180.34
Rafael,Dos Anjos,,Southpaw,28,10,0,38,170,172.72
Tim,Means,The Dirty Bird,Orthodox,27,10,1,38,170,187.96
Daniel,Acacio,,Orthodox,26,12,0,38,180,172.72
Daisuke,Nakamura,,Orthodox,24,13,1,38,154,170.18
Naoki,Matsushita,,Orthodox,12,15,11,38,155,167.64000000000001
Edwin,Aguilar,Tigre,,22,16,0,38,185,177.8
Diego,Saraiva,The Octopus,Orthodox,21,16,1,38,155,167.64000000000001
Bob,Schrijber,Dirty,Orthodox,20,17,1,38,265,182.88
Jeremiah,O'Neal,,,13,25,0,38,265,172.72
Brock,Larson,,Southpaw,33,6,0,39,170,180.34
John,Lineker,Hands of Stone,Orthodox,31,8,0,39,135,160.02
Falaniko,Vitale,Niko,Orthodox,29,10,0,39,185,177.8
Thiago,Alves,Pitbull,Orthodox,27,12,0,39,170,175.26
Emanuel,Newton,The Hardcore Kid,,26,12,1,39,205,185.42
Krzysztof,Soszynski,The Polish Experiment,Open Stance,26,12,1,39,205,185.42
Jorge,Patino,Macaco,Orthodox,25,13,1,39,170,172.72
Matt,Brown,The Immortal,Orthodox,23,16,0,39,170,182.88
Mark,Weir,The Wizard,Southpaw,20,18,1,39,185,187.96
Yoshihisa,Yamamoto,,Southpaw,14,24,1,39,265,187.96
Gleristone,Santos,Toninho Furia,,33,7,0,40,145,175.26
Sanae,Kikuta,,Orthodox,30,7,3,40,200,175.26
Evan,Tanner,,Orthodox,32,8,0,40,185,182.88
Michael,Bisping,The Count,Orthodox,31,9,0,40,185,185.42
Cheick,Kongo,,Orthodox,29,9,2,40,265,193.04
Diego,Sanchez,Lionheart,Southpaw,29,11,0,40,170,177.8
Jimmy,Wallhead,Judo,Orthodox,29,11,0,40,170,177.8
Robbie,Lawler,Ruthless,Southpaw,28,12,0,40,170,180.34
Johnny,Eduardo,,Orthodox,28,12,0,40,135,170.18
Jim,Miller,A-10,Southpaw,28,12,0,40,155,172.72
Brad,Pickett,One Punch,Orthodox,26,14,0,40,135,167.64000000000001
Vitor,Belfort,The Phenom,Southpaw,26,14,0,40,185,182.88
Hidehiko,Hasegawa,,,19,15,6,40,170,175.26
Yuji,Hisamatsu,,,15,19,6,40,185,177.8
Sean,Sherk,The Muscle Shark,Orthodox,36,4,1,41,155,167.64000000000001
Alexander,Sarnavskiy,Tiger,,35,6,0,41,155,180.34
Nik,Lentz,The Carny,Orthodox,30,9,2,41,155,172.72
Andrei,Semenov,,Orthodox,30,9,2,41,185,182.88
Dakota,Cochrane,,,29,12,0,41,155,172.72
Chad,Reiner,The Grinder,Orthodox,28,13,0,41,170,180.34
Igor,Pokrajac,The Duke,Orthodox,28,13,0,41,205,182.88
Jose,Landi-Jons,Pele,Orthodox,27,14,0,41,170,180.34
Semmy,Schilt,Hightower,Orthodox,26,14,1,41,265,208.28
Jens,Pulver,Little Evil,Southpaw,25,15,1,41,145,170.18
Brendan,Seguin,,,23,17,1,41,185,182.88
Michael,Knaap,Hammer,Orthodox,18,20,3,41,265,187.96
Daijiro,Matsui,,Orthodox,12,24,5,41,200,175.26
Renan,Barao,The Baron,Orthodox,36,6,0,42,135,167.64000000000001
Anderson,Silva,The Spider,Southpaw,34,8,0,42,185,187.96
Jaime,Jara,El Cucui,Southpaw,32,10,0,42,205,185.42
Mikhail,Iloukhine,,Orthodox,30,11,1,42,205,175.26
Yoshiro,Maeda,,Southpaw,28,12,2,42,139,170.18
Carlos,Condit,The Natural Born Killer,Orthodox,30,12,0,42,170,187.96
Donald,Sanchez,,,29,13,0,42,145,177.8
Keith,Wisniewski,The Polish Connection,Orthodox,28,13,1,42,170,182.88
Mike,Pyle,Quicksand,Orthodox,27,14,1,42,170,182.88
Heath,Herring,The Texas Crazy Horse,Orthodox,28,14,0,42,265,193.04
Derrick,Noble,The Eraser,Southpaw,26,15,1,42,170,175.26
Anthony,Macias,Mad Dog,Switch,26,16,0,42,185,175.26
Jason,MacDonald,The Athlete,Orthodox,26,16,0,42,185,190.5
Eiji,Ishikawa,,,22,17,3,42,170,177.8
Seichi,Ikemoto,,Orthodox,20,17,5,42,168,180.34
Brian,Geraghty,Duke,Orthodox,24,17,1,42,155,170.18
Dustin,Neace,The Beast,,23,18,1,42,145,175.26
Yuki,Sasaki,,Orthodox,22,19,1,42,185,187.96
Josh,Barnett,The Warmaster,Orthodox,35,8,0,43,265,190.5
Sam,Alvey,Smile'N,Southpaw,33,10,0,43,205,187.96
Stefan,Struve,Skyscraper,Orthodox,32,11,0,43,265,210.82
Carlo,Prater,Neo,Switch,30,12,1,43,155,180.34
Jordan,Mein,Young Gun,Orthodox,31,12,0,43,170,182.88
Masanori,Kanehara,,Orthodox,25,13,5,43,135,170.18
Anthony,Smith,Lionheart,Orthodox,30,13,0,43,205,193.04
Duane,Ludwig,Bang,Orthodox,29,14,0,43,170,177.8
