First,Last,Nickname,Stance,Win,Loss,Draw,Total Fights,Weight_numeric,Height_cm
Tiequan,Zhang,The Wolf,Orthodox,18,4,0,22,155,172.72
Rory,MacDonald,Red King,Orthodox,18,4,0,22,170,182.88
Omari,Akhmedov,Wolverine,Orthodox,17,4,1,22,185,182.88
Simeon,Thoresen,The Grin,Orthodox,17,4,1,22,170,185.42
Quinn,Mulhern,,Orthodox,18,4,0,22,155,190.5
Shamil,Abdurakhimov,Abrek,Orthodox,18,4,0,22,265,190.5
Alexander,Gustafsson,The Mauler,Orthodox,18,4,0,22,205,195.57999999999998
Kurt,Holobaugh,,Orthodox,17,5,0,22,145,180.34
Alejandro,Villalobos,,,17,5,0,22,145,170.18
Eddie,Yagin,The Filipino Phenom,Orthodox,16,5,1,22,145,170.18
Kazunori,Yokota,,Orthodox,14,5,3,22,154,172.72
Gesias,Cavalcante,JZ,Orthodox,16,5,1,22,155,172.72
JC,Cottrell,Superstar,Orthodox,17,5,0,22,155,175.26
Hernani,Perpetuo,,Orthodox,17,5,0,22,170,182.88
Aaron,Rosa,,Orthodox,17,5,0,22,205,193.04
Zak,Ottow,The Barbarian,Orthodox,16,6,0,22,170,180.34
Ryo,Kawamura,,Orthodox,12,6,4,22,205,180.34
Aisling,Daly,Ais the Bash,,16,6,0,22,115,157.48000000000002
John,Makdessi,The Bull,Orthodox,16,6,0,22,155,172.72
Kurt,Pellegrino,Batman,Orthodox,16,6,0,22,155,172.72
Alan,Jouban,Brahma,Southpaw,16,6,0,22,170,182.88
Rory,Markham,,Orthodox,16,6,0,22,170,182.88
Bojan,Velickovic,Serbian Steel,Southpaw,15,6,1,22,170,182.88
Marcos,Rogerio de Lima,Pezao,Orthodox,15,6,1,22,205,185.42
Emiliano,Sordi,He-Man,Orthodox,16,6,0,22,205,187.96
Nathan,Coy,Soulforce,Southpaw,15,7,0,22,170,177.8
Rony,Jason,,Orthodox,15,7,0,22,145,170.18
Art,Arciniega,King Arthur,,15,7,0,22,145,172.72
Rafaello,Oliveira,Tractor,Orthodox,15,7,0,22,155,172.72
Gray,Maynard,,Orthodox,14,7,1,22,145,175.26
Marius,Zaromskis,The Whitemare,Orthodox,15,7,0,22,170,175.26
Brett,Cooper,,Orthodox,15,7,0,22,170,182.88
Ebenezer Fontes,Braga,Pitbull,Orthodox,13,7,2,22,199,182.88
Lucio,Linhares,,Orthodox,15,7,0,22,185,187.96
Houston,Alexander,The Assassin,Orthodox,13,8,1,22,205,182.88
Roy,Boughton,Black Dynamite,,14,8,0,22,205,182.88
Dan,Miller,,Orthodox,14,8,0,22,185,185.42
Craig,White,The Thundercat,Orthodox,14,8,0,22,170,187.96
Takafumi,Otsuka,,Orthodox,12,9,1,22,139,167.64000000000001
Shane,Howell,,Orthodox,13,9,0,22,125,172.72
Gabe,Lemley,,Orthodox,13,9,0,22,155,172.72
Doug,Evans,,Orthodox,13,9,0,22,155,175.26
Chris,Liguori,,Orthodox,13,9,0,22,185,175.26
Rameau Thierry,Sokoudjou,The African Assassin,Orthodox,12,10,0,22,205,177.8
Tim,Stout,,,12,10,0,22,185,180.34
Yan,Pellerin,Wild Thing,Orthodox,9,13,0,22,205,180.34
Maurice,Eazel,,,7,15,0,22,135,170.18
Jon,Jones,Bones,Orthodox,22,1,0,23,205,193.04
Jeremy,Lang,,Southpaw,21,2,0,23,205,180.34
Jimmie,Rivera,El Terror,Orthodox,21,2,0,23,135,162.56
Jason,Reinhardt,,Orthodox,20,3,0,23,135,167.64000000000001
Alex,Oliveira,Cowboy,Orthodox,18,4,1,23,170,180.34
Gerald,Harris,,Southpaw,19,4,0,23,185,180.34
Kevin,Souza,Kevin,Orthodox,19,4,0,23,145,182.88
Lyman,Good,Cyborg,Orthodox,19,4,0,23,170,182.88
Mike,Ciesnolevicz,,Orthodox,19,4,0,23,265,182.88
Krzysztof,Jotko,,Southpaw,19,4,0,23,185,185.42
Alan,Omer,,Orthodox,18,5,0,23,145,177.8
Chris,Curtis,Action-Man,Orthodox,18,5,0,23,170,177.8
Andre,Fili,Touchy,Orthodox,18,5,0,23,145,180.34
Lorenz,Larkin,The Monsoon,Orthodox,18,5,0,23,170,180.34
Brian,Foster,The Foster Boy,Orthodox,18,5,0,23,170,175.26
Sergei,Kharitonov,,Orthodox,18,5,0,23,265,182.88
Cathal,Pendred,The Punisher,Orthodox,17,5,1,23,170,185.42
Linton,Vassell,The Swarm,,18,5,0,23,205,193.04
Steven,Peterson,Ocho,Orthodox,17,6,0,23,145,177.8
Carina,Damm,Beauty But the Beast,,17,6,0,23,135,162.56
Erik,Perez,Goyito,Orthodox,17,6,0,23,135,172.72
