name,accuracy,correct,fault,status
Claudia Gadelha,0.8888888888888888,8,1,GOOD
Song Yadong,0.5,2,2,QUESTIONABLE
Chance Rencountre,0.75,3,1,GOOD
Francis Ngannou,0.2727272727272727,3,8,QUESTIONABLE
Joseph Benavidez,0.5714285714285714,8,6,QUESTIONABLE
Demian Maia,0.75,21,7,GOOD
Jared Gordon,0.8,4,1,GOOD
Dalcha Lungiambula,1.0,2,0,GOOD
Kevin Holland,0.75,3,1,GOOD
Dan Ige,0.25,1,3,QUESTIONABLE
Ashley Yoder,0.75,3,1,GOOD
Luis Pena,0.5,2,2,QUESTIONABLE
Henry Cejudo,0.8181818181818182,9,2,GOOD
Tony Ferguson,0.9230769230769231,12,1,GOOD
Blagoy Ivanov,0.6666666666666666,2,1,QUESTIONABLE
Aljamain Sterling,0.75,9,3,GOOD
Alexa Grasso,0.6666666666666666,2,1,QUESTIONABLE
Calvin Kattar,0.4,2,3,QUESTIONABLE
Darren Stewart,1.0,5,0,GOOD
Eddie Wineland,0.75,9,3,GOOD
Aleksandar Rakic,0.8,4,1,GOOD
Makwan Amirkhani,0.0,0,4,QUESTIONABLE
Christos Giagos,0.5,3,3,QUESTIONABLE
Daniel Teymur,0.8,4,1,GOOD
Sergey Khandozhko,0.5,1,1,QUESTIONABLE
Leonardo Santos,0.2,1,4,QUESTIONABLE
Frank Camacho,1.0,4,0,GOOD
Devin Clark,0.3333333333333333,2,4,QUESTIONABLE
Ian Heinisch,1.0,3,0,GOOD
Davi Ramos,0.6,3,2,QUESTIONABLE
Zak Cummings,0.8,8,2,GOOD
Jessica Andrade,0.7692307692307693,10,3,GOOD
Laureano Staropoli,1.0,2,0,GOOD
Thiago Moises,0.6666666666666666,2,1,QUESTIONABLE
Warlley Alves,0.9,9,1,GOOD
Clay Guida,0.7272727272727273,16,6,QUESTIONABLE
Donald Cerrone,0.8076923076923077,21,5,GOOD
Andrew Sanchez,1.0,5,0,GOOD
Nordine Taleb,0.9,9,1,GOOD
Arjan Bhullar,0.6666666666666666,2,1,QUESTIONABLE
Cole Smith,1.0,2,0,GOOD
Jack Hermansson,1.0,8,0,GOOD
Greg Hardy,0.6666666666666666,2,1,QUESTIONABLE
Mike Perry,0.2,2,8,QUESTIONABLE
Takashi Sato,0.5,1,1,QUESTIONABLE
Dhiego Lima,0.5,3,3,QUESTIONABLE
Alistair Overeem,0.38461538461538464,5,8,QUESTIONABLE
Sultan Aliev,0.6666666666666666,2,1,QUESTIONABLE
Alexander Yakovlev,0.42857142857142855,3,4,QUESTIONABLE
Shamil Abdurakhimov,0.0,0,8,QUESTIONABLE
Magomed Mustafaev,0.5,2,2,QUESTIONABLE
Dustin Poirier,0.47368421052631576,9,10,QUESTIONABLE
Israel Adesanya,0.25,1,3,QUESTIONABLE
Dwight Grant,0.5,1,1,QUESTIONABLE
Nikita Krylov,0.6666666666666666,6,3,QUESTIONABLE
Max Griffin,0.7142857142857143,5,2,QUESTIONABLE
Brandon Davis,0.2,1,4,QUESTIONABLE
Michelle Waterson,0.2857142857142857,2,5,QUESTIONABLE
Paul Craig,0.6666666666666666,4,2,QUESTIONABLE
Maryna Moroz,0.2,1,4,QUESTIONABLE
Alex Perez,0.8,4,1,GOOD
Anthony Pettis,0.625,10,6,QUESTIONABLE
Jussier Formiga,0.6153846153846154,8,5,QUESTIONABLE
Maycee Barber,0.0,0,2,QUESTIONABLE
Bryce Mitchell,0.5,1,1,QUESTIONABLE
Jennifer Maia,1.0,3,0,GOOD
Leon Edwards,0.2,2,8,QUESTIONABLE
Saparbeg Safarov,0.6666666666666666,2,1,QUESTIONABLE
Junior Dos Santos,0.7222222222222222,13,5,QUESTIONABLE
Anthony Rocco Martin,0.3333333333333333,4,8,QUESTIONABLE
Yana Kunitskaya,0.75,3,1,GOOD
Matt Schnell,0.5,3,3,QUESTIONABLE
Alex White,0.3,3,7,QUESTIONABLE
Pedro Munhoz,0.5,6,6,QUESTIONABLE
Johnny Walker,0.6666666666666666,2,1,QUESTIONABLE
Diego Sanchez,0.6086956521739131,14,9,QUESTIONABLE
Hannah Cifers,0.5,1,1,QUESTIONABLE
Thiago Santos,0.625,10,6,QUESTIONABLE
Michal Oleksiejczuk,1.0,2,0,GOOD
Liz Carmouche,0.6666666666666666,6,3,QUESTIONABLE
Chris Fishgold,1.0,3,0,GOOD
Cynthia Calvillo,0.0,0,3,QUESTIONABLE
Nik Lentz,0.7058823529411765,12,5,QUESTIONABLE
Luke Sanders,0.6,3,2,QUESTIONABLE
Lando Vannata,0.75,6,2,GOOD
Ricky Simon,0.5,2,2,QUESTIONABLE
Jimmy Crute,0.6666666666666666,2,1,QUESTIONABLE
Shane Young,0.5,1,1,QUESTIONABLE
Jalin Turner,1.0,3,0,GOOD
Jose Aldo,0.4,6,9,QUESTIONABLE
Livinha Souza,0.5,1,1,QUESTIONABLE
Markus Perez,0.5,2,2,QUESTIONABLE
Thiago Alves,0.7391304347826086,17,6,GOOD
Said Nurmagomedov,0.3333333333333333,1,2,QUESTIONABLE
Allen Crowder,0.5,1,1,QUESTIONABLE
Paige VanZant,0.5714285714285714,4,3,QUESTIONABLE
Dennis Bermudez,0.6428571428571429,9,5,QUESTIONABLE
Andrei Arlovski,0.5555555555555556,10,8,QUESTIONABLE
Curtis Millender,0.3333333333333333,1,2,QUESTIONABLE
Montel Jackson,0.5,1,1,QUESTIONABLE
Al Iaquinta,0.4166666666666667,5,7,QUESTIONABLE
Edson Barboza,0.47058823529411764,8,9,QUESTIONABLE
Zak Ottow,0.7142857142857143,5,2,QUESTIONABLE
Joaquim Silva,0.6,3,2,QUESTIONABLE
Juan Adams,1.0,2,0,GOOD
Gunnar Nelson,0.8181818181818182,9,2,GOOD
Nina Ansaroff,0.6666666666666666,4,2,QUESTIONABLE
Elias Theodorou,0.8888888888888888,8,1,GOOD
Brad Katona,0.5,1,1,QUESTIONABLE
Justin Willis,0.4,2,3,QUESTIONABLE
Aleksei Kunchenko,0.5,1,1,QUESTIONABLE
Wilson Reis,0.8181818181818182,9,2,GOOD
Keita Nakamura,0.375,3,5,QUESTIONABLE
Liu Pingyuan,0.25,1,3,QUESTIONABLE
Louis Smolka,0.5555555555555556,5,4,QUESTIONABLE
Santiago Ponzinibbio,0.8181818181818182,9,2,GOOD
Ricardo Lamas,0.3076923076923077,4,9,QUESTIONABLE
Michel Prazeres,0.5,4,4,QUESTIONABLE
Austin Arnett,0.75,3,1,GOOD
Michael Trizano,1.0,2,0,GOOD
Bobby Moffett,1.0,2,0,GOOD
Eric Shelton,0.75,3,1,GOOD
Daniel Cormier,0.8,8,2,GOOD
Jacare Souza,0.6363636363636364,7,4,QUESTIONABLE
Sheymon Moraes,0.75,3,1,GOOD
Anthony Smith,0.2857142857142857,2,5,QUESTIONABLE
Michael Johnson,0.75,12,4,GOOD
Gian Villante,0.75,9,3,GOOD
Court McGee,0.7142857142857143,10,4,QUESTIONABLE
Sean Strickland,0.875,7,1,GOOD
Rogerio Nogueira,0.5714285714285714,4,3,QUESTIONABLE
Sergio Moraes,0.23076923076923078,3,10,QUESTIONABLE
Thales Leites,0.7,14,6,QUESTIONABLE
Aleksei Oleinik,0.42857142857142855,3,4,QUESTIONABLE
Mairbek Taisumov,0.5714285714285714,4,3,QUESTIONABLE
Jordan Johnson,0.3333333333333333,1,2,QUESTIONABLE
Tyron Woodley,0.5454545454545454,6,5,QUESTIONABLE
Abdul Razak Alhassan,0.5,2,2,QUESTIONABLE
Cortney Casey,0.8,8,2,GOOD
Bryan Barberena,0.625,5,3,QUESTIONABLE
Rani Yahya,0.5384615384615384,7,6,QUESTIONABLE
TJ Dillashaw,0.7333333333333333,11,4,QUESTIONABLE
Renato Moicano,0.625,5,3,QUESTIONABLE
Alexander Hernandez,0.3333333333333333,1,2,QUESTIONABLE
Jordan Mein,0.875,7,1,GOOD
Marcin Tybura,0.875,7,1,GOOD
Damir Hadzovic,0.8,4,1,GOOD
Bartosz Fabinski,1.0,4,0,GOOD
Nad Narimani,0.5,1,1,QUESTIONABLE
Darko Stosic,1.0,3,0,GOOD
Sage Northcutt,0.4,2,3,QUESTIONABLE
Chad Mendes,0.5384615384615384,7,6,QUESTIONABLE
Alejandro Perez,0.375,3,5,QUESTIONABLE
Mark De La Rosa,0.3333333333333333,1,2,QUESTIONABLE
Raphael Assuncao,0.6666666666666666,10,5,QUESTIONABLE
Alessio Di Chirico,0.7142857142857143,5,2,QUESTIONABLE
Jake Matthews,0.5,5,5,QUESTIONABLE
Ulka Sasaki,0.25,2,6,QUESTIONABLE
Ben Saunders,0.75,9,3,GOOD
Julio Arce,0.5,2,2,QUESTIONABLE
Sam Alvey,0.3076923076923077,4,9,QUESTIONABLE
David Teymur,1.0,5,0,GOOD
Desmond Green,1.0,4,0,GOOD
Neil Magny,0.6470588235294118,11,6,QUESTIONABLE
Claudio Silva,0.5,1,1,QUESTIONABLE
Lina Lansberg,0.75,3,1,GOOD
Andrea Lee,1.0,2,0,GOOD
Gabriel Benitez,0.16666666666666666,1,5,QUESTIONABLE
Kelvin Gastelum,0.5,8,8,QUESTIONABLE
John Lineker,0.3333333333333333,4,8,QUESTIONABLE
Lyoto Machida,0.5882352941176471,10,7,QUESTIONABLE
Kevin Lee,0.3333333333333333,4,8,QUESTIONABLE
Frankie Edgar,0.8260869565217391,19,4,GOOD
Dan Hooker,0.7142857142857143,5,2,QUESTIONABLE
Ryan LaFlare,0.6666666666666666,6,3,QUESTIONABLE
Alex Oliveira,0.6666666666666666,8,4,QUESTIONABLE
Antonio Carlos Junior,0.6,6,4,QUESTIONABLE
John Moraga,0.6363636363636364,7,4,QUESTIONABLE
Brad Tavares,0.625,10,6,QUESTIONABLE
Yushin Okami,0.4444444444444444,8,10,QUESTIONABLE
Adam Wieczorek,0.0,0,2,QUESTIONABLE
Rose Namajunas,0.375,3,5,QUESTIONABLE
Chris Gruetzemacher,0.3333333333333333,1,2,QUESTIONABLE
Karolina Kowalkiewicz,0.875,7,1,GOOD
Danny Henry,0.6666666666666666,2,1,QUESTIONABLE
Kajan Johnson,0.6666666666666666,4,2,QUESTIONABLE
Cris Cyborg,0.8,4,1,GOOD
Brian Ortega,0.14285714285714285,1,6,QUESTIONABLE
John Dodson,0.5833333333333334,7,5,QUESTIONABLE
CB Dollaway,0.7058823529411765,12,5,QUESTIONABLE
Ilir Latifi,0.5,6,6,QUESTIONABLE
Brian Kelleher,1.0,6,0,GOOD
Marion Reneau,0.16666666666666666,1,5,QUESTIONABLE
Angela Hill,1.0,7,0,GOOD
Alan Jouban,0.7777777777777778,7,2,GOOD
Tai Tuivasa,0.75,3,1,GOOD
Tyson Pedro,0.5,2,2,QUESTIONABLE
Alan Patrick,0.6666666666666666,4,2,QUESTIONABLE
Polyana Viana,0.75,3,1,GOOD
Iuri Alcantara,0.8125,13,3,GOOD
Bobby Green,0.5454545454545454,6,5,QUESTIONABLE
Mirsad Bektic,0.6666666666666666,4,2,QUESTIONABLE
Ji Yeon Kim,0.6666666666666666,2,1,QUESTIONABLE
Vinc Pichel,0.5,2,2,QUESTIONABLE
Kyle Bochniak,0.8,4,1,GOOD
Dustin Ortiz,0.7272727272727273,8,3,QUESTIONABLE
Jeremy Stephens,0.7391304347826086,17,6,GOOD
Jessica-Rose Clark,0.0,0,2,QUESTIONABLE
Darren Elkins,0.6666666666666666,12,6,QUESTIONABLE
Julian Marquez,1.0,2,0,GOOD
Chad Laprise,0.7142857142857143,5,2,QUESTIONABLE
John Makdessi,0.5,6,6,QUESTIONABLE
Alexis Davis,0.75,6,2,GOOD
Eddie Alvarez,0.42857142857142855,3,4,QUESTIONABLE
Tecia Torres,0.5,4,4,QUESTIONABLE
Yancy Medeiros,0.6,6,4,QUESTIONABLE
Felice Herrig,0.42857142857142855,3,4,QUESTIONABLE
Alex Garcia,0.5555555555555556,5,4,QUESTIONABLE
Gina Mazany,0.6666666666666666,2,1,QUESTIONABLE
Fabricio Werdum,0.8461538461538461,11,2,GOOD
Ryan Benoit,0.3333333333333333,2,4,QUESTIONABLE
Cezar Ferreira,0.5,7,7,QUESTIONABLE
Jake Collier,0.3333333333333333,2,4,QUESTIONABLE
Georges St-Pierre,0.9411764705882353,16,1,GOOD
Mark Godbeer,0.5,1,1,QUESTIONABLE
Marcin Held,0.75,3,1,GOOD
Shinsho Anzai,0.6666666666666666,2,1,QUESTIONABLE
Olivier Aubin-Mercier,0.625,5,3,QUESTIONABLE
Ketlen Vieira,0.3333333333333333,1,2,QUESTIONABLE
Thibault Gouti,0.8,4,1,GOOD
Sergio Pettis,0.6666666666666666,8,4,QUESTIONABLE
Joseph Morales,1.0,3,0,GOOD
Robbie Lawler,0.5384615384615384,7,6,QUESTIONABLE
Alexandra Albu,0.5,1,1,QUESTIONABLE
Chris Weidman,0.8333333333333334,10,2,GOOD
Patrick Cummins,0.5384615384615384,7,6,QUESTIONABLE
Jeremy Kennedy,0.6666666666666666,2,1,QUESTIONABLE
Junior Albini,1.0,3,0,GOOD
Chris Wade,0.5,3,3,QUESTIONABLE
Jack Marshman,0.6,3,2,QUESTIONABLE
Brett Johns,0.75,3,1,GOOD
Tim Boetsch,0.5294117647058824,9,8,QUESTIONABLE
Dennis Siver,0.4375,7,9,QUESTIONABLE
Holly Holm,0.5714285714285714,4,3,QUESTIONABLE
Walt Harris,0.6666666666666666,6,3,QUESTIONABLE
Russell Doane,0.42857142857142855,3,4,QUESTIONABLE
Naoki Inoue,0.5,1,1,QUESTIONABLE
Lucie Pudilova,0.25,1,3,QUESTIONABLE
Mark Hunt,0.5,8,8,QUESTIONABLE
Ion Cutelaba,0.75,3,1,GOOD
Luke Jumeau,1.0,2,0,GOOD
Vitor Belfort,0.5789473684210527,11,8,QUESTIONABLE
Matthew Lopez,0.8333333333333334,5,1,GOOD
Viviane Pereira,0.0,0,2,QUESTIONABLE
Peter Sobotta,0.8333333333333334,5,1,GOOD
Trevor Smith,0.6666666666666666,8,4,QUESTIONABLE
Bojan Velickovic,0.6,3,2,QUESTIONABLE
Jason Knight,0.5,4,4,QUESTIONABLE
Chase Sherman,0.3333333333333333,2,4,QUESTIONABLE
Cub Swanson,0.6428571428571429,9,5,QUESTIONABLE
Hector Sandoval,0.75,3,1,GOOD
Demetrious Johnson,0.75,12,4,GOOD
Robert Whittaker,0.4444444444444444,4,5,QUESTIONABLE
Rashid Magomedov,1.0,5,0,GOOD
Gegard Mousasi,0.6666666666666666,8,4,QUESTIONABLE
Myles Jury,0.5,4,4,QUESTIONABLE
Bethe Correia,0.5,3,3,QUESTIONABLE
Joe Soto,0.42857142857142855,3,4,QUESTIONABLE
Johny Hendricks,0.5,8,8,QUESTIONABLE
Sara McMann,0.375,3,5,QUESTIONABLE
James Vick,0.6666666666666666,6,3,QUESTIONABLE
Marcel Fortuna,0.5,1,1,QUESTIONABLE
Adam Milstead,0.6666666666666666,2,1,QUESTIONABLE
Eric Spicely,1.0,5,0,GOOD
Augusto Mendes,0.6666666666666666,2,1,QUESTIONABLE
Cyril Asker,0.5,2,2,QUESTIONABLE
Cody Garbrandt,0.7142857142857143,5,2,QUESTIONABLE
Dong Hyun Kim,0.8666666666666667,13,2,GOOD
Mizuto Hirota,0.6666666666666666,4,2,QUESTIONABLE
Leslie Smith,0.5,2,2,QUESTIONABLE
Emil Meek,0.3333333333333333,1,2,QUESTIONABLE
Justine Kish,0.25,1,3,QUESTIONABLE
Juliana Lima,0.75,3,1,GOOD
Dong Hyun Ma,0.8,4,1,GOOD
Jamie Moyle,0.5,1,1,QUESTIONABLE
Andrew Holbrook,0.6666666666666666,2,1,QUESTIONABLE
Danielle Taylor,0.6666666666666666,2,1,QUESTIONABLE
Daniel Kelly,0.6,3,2,QUESTIONABLE
Ryan Bader,0.5882352941176471,10,7,QUESTIONABLE
Thomas Almeida,1.0,6,0,GOOD
Johnny Eduardo,0.8571428571428571,6,1,GOOD
Luis Henrique,0.3333333333333333,2,4,QUESTIONABLE
Francimar Barroso,0.625,5,3,QUESTIONABLE
Artem Lobov,0.6666666666666666,4,2,QUESTIONABLE
Kyoji Horiguchi,0.8571428571428571,6,1,GOOD
Justin Ledet,0.5,2,2,QUESTIONABLE
Conor McGregor,0.3333333333333333,3,6,QUESTIONABLE
Raquel Pennington,0.125,1,7,QUESTIONABLE
Erik Perez,0.6,3,2,QUESTIONABLE
Michael Bisping,0.5714285714285714,12,9,QUESTIONABLE
Jimi Manuwa,0.5555555555555556,5,4,QUESTIONABLE
Stefan Struve,0.5625,9,7,QUESTIONABLE
Nate Marquardt,0.5714285714285714,12,9,QUESTIONABLE
Renan Barao,0.8571428571428571,12,2,GOOD
Roy Nelson,0.6470588235294118,11,6,QUESTIONABLE
Godofredo Pepey,0.9,9,1,GOOD
Josh Barnett,1.0,4,0,GOOD
Nick Hein,0.8333333333333334,5,1,GOOD
Jessin Ayari,0.6666666666666666,2,1,QUESTIONABLE
Taylor Lapilus,0.75,3,1,GOOD
Jarjis Danho,1.0,2,0,GOOD
Felipe Silva,0.5,1,1,QUESTIONABLE
Lorenz Larkin,0.5555555555555556,5,4,QUESTIONABLE
Daniel Omielanczuk,0.5,3,3,QUESTIONABLE
Alex Nicholson,0.25,1,3,QUESTIONABLE
Brock Lesnar,0.75,6,2,GOOD
Dooho Choi,0.5,2,2,QUESTIONABLE
Alberto Mina,0.0,0,3,QUESTIONABLE
Felipe Arantes,0.6,6,4,QUESTIONABLE
Jason Saggo,0.25,1,3,QUESTIONABLE
Dominick Cruz,0.8333333333333334,5,1,GOOD
Dan Henderson,0.45454545454545453,5,6,QUESTIONABLE
Alex Caceres,0.5454545454545454,6,5,QUESTIONABLE
Kevin Casey,0.5,3,3,QUESTIONABLE
Rick Story,0.5625,9,7,QUESTIONABLE
Chris Camozzi,0.5,8,8,QUESTIONABLE
Bryan Caraway,0.5,4,4,QUESTIONABLE
Magnus Cedenblad,0.5,3,3,QUESTIONABLE
Reza Madadi,0.25,1,3,QUESTIONABLE
Tim Johnson,0.25,1,3,QUESTIONABLE
Lucas Martins,0.6,3,2,QUESTIONABLE
Bec Rawlings,0.5,2,2,QUESTIONABLE
Miesha Tate,0.8333333333333334,5,1,GOOD
Siyar Bahadurzada,0.6666666666666666,4,2,QUESTIONABLE
Scott Askham,0.8,4,1,GOOD
Teemu Packalen,0.6666666666666666,2,1,QUESTIONABLE
Oluwale Bamgbose,0.75,3,1,GOOD
