red,blue,actual,ai,ai_err,bookies,bookies_err
Raphael Assuncao,Rob Font,1,0.6548178195953369,0.3451821804046631,0.5833333333333334,0.41666666666666663
Rob Font,Douglas Silva de Andrade,1,0.9627689123153687,0.03723108768463135,0.726027397260274,0.273972602739726
Rob Font,Joey Gomez,1,0.9953206777572632,0.004679322242736816,0.6875,0.3125
Rob Font,Matt Schnell,1,0.8509586453437805,0.14904135465621948,0.7297297297297297,0.2702702702702703
Rob Font,Ricky Simon,1,0.7835280895233154,0.21647191047668457,0.5918367346938775,0.40816326530612246
Rob Font,Sergio Pettis,1,0.6684816479682922,0.33151835203170776,0.6226415094339622,0.37735849056603776
Alex Oliveira_0,Tim Means_0,1,0.8681046962738037,0.1318953037261963,0.3636363636363637,0.6363636363636362
Alex Oliveira_1,Tim Means_1,1,0.8681046962738037,0.1318953037261963,0.5833333333333334,0.41666666666666663
Hernani Perpetuo,Tim Means,0,8.42105600895593e-06,8.42105600895593e-06,0.3745318352059925,0.3745318352059925
Sergio Moraes,Tim Means,1,0.19404572248458862,0.8059542775154114,0.3663003663003663,0.6336996336996337
Tim Means,Alex Garcia,1,0.8665432929992676,0.13345670700073242,0.7560975609756098,0.24390243902439024
Tim Means,John Howard,1,0.7188549041748047,0.2811450958251953,0.8039215686274509,0.1960784313725491
Tim Means,Jorge Masvidal,0,0.422462522983551,0.422462522983551,0.5,0.5
Tim Means,Ricky Rainey,1,0.9999837875366211,1.621246337890625e-05,0.7727272727272727,0.2272727272727273
Tim Means,Sabah Homasi,1,0.9999929666519165,7.033348083496094e-06,0.8076923076923077,0.1923076923076923
Makhmud Muradov,Trevor Smith,1,0.385667085647583,0.614332914352417,0.8333333333333335,0.16666666666666652
Corey Anderson,Jan Blachowicz,1,0.9840864539146423,0.015913546085357666,0.701492537313433,0.298507462686567
Ilir Latifi,Jan Blachowicz,0,0.0034496099688112736,0.0034496099688112736,0.726027397260274,0.726027397260274
Jan Blachowicz,Devin Clark,1,0.9201195240020752,0.0798804759979248,0.43478260869565216,0.5652173913043479
Jan Blachowicz,Jacare Souza,1,0.9446558356285095,0.05534416437149048,0.6153846153846154,0.3846153846153846
Jan Blachowicz,Nikita Krylov,1,0.6081340909004211,0.39186590909957886,0.4444444444444444,0.5555555555555556
Patrick Cummins,Jan Blachowicz,1,0.7410781979560852,0.2589218020439148,0.5121951219512195,0.4878048780487805
Anthony Pettis,Charles Oliveira,1,0.1488770842552185,0.8511229157447815,0.6226415094339622,0.37735849056603776
Charles Oliveira,Christos Giagos,1,0.6436063051223755,0.3563936948776245,0.8245614035087719,0.17543859649122806
Charles Oliveira,David Teymur,1,0.9903149604797363,0.009685039520263672,0.5454545454545454,0.4545454545454546
Charles Oliveira,Jared Gordon,1,0.9385032653808594,0.061496734619140625,0.7959183673469387,0.20408163265306134
Charles Oliveira,Myles Jury,1,0.7536288499832153,0.24637115001678467,0.4081632653061225,0.5918367346938775
Darren Elkins,Charles Oliveira,0,0.6557422876358032,0.6557422876358032,0.3333333333333333,0.3333333333333333
Hatsu Hioki,Charles Oliveira,0,0.00022900104522705078,0.00022900104522705078,0.3508771929824561,0.3508771929824561
Ricardo Lamas,Charles Oliveira,1,0.03146040439605713,0.9685395956039429,0.5238095238095238,0.47619047619047616
James Krause,Alex White,1,0.7261577844619751,0.2738422155380249,0.6428571428571429,0.3571428571428571
James Krause,Shane Campbell,1,0.8414223194122314,0.15857768058776855,0.6491228070175439,0.3508771929824561
James Krause,Warlley Alves,1,0.4257589280605316,0.5742410719394684,0.2702702702702703,0.7297297297297297
Jamie Varner,James Krause,0,0.0003058917645830661,0.0003058917645830661,0.6825396825396826,0.6825396825396826
Sam Stout,James Krause,0,0.45885804295539856,0.45885804295539856,0.7435897435897436,0.7435897435897436
Ricardo Ramos,Eduardo Garagorri,1,1.555687776999548e-05,0.99998444312223,0.8113207547169812,0.18867924528301883
Ricardo Ramos,Kyung Ho Kang,1,0.00015104423800949007,0.9998489557619905,0.7333333333333333,0.2666666666666667
Ricardo Ramos,Michinori Tanaka,1,0.010928010568022728,0.9890719894319773,0.4878048780487805,0.5121951219512195
